query_id,log2FC,seed_ortholog,evalue,score,eggNOG_OGs,max_annot_lvl,COG_category,Description,Preferred_name,GOs,EC,KEGG_ko,KEGG_Pathway,KEGG_Module,KEGG_Reaction,KEGG_rclass,BRITE,KEGG_TC,CAZy,BiGG_Reaction,PFAMs
CM_cdhit-1_transcript_7559,-8.624267008736247,616991.JPOO01000003_gene1097,4.9200000000000004e-33,128,"2EBGV@1|root,335HF@2|Bacteria,4NV5E@976|Bacteroidetes,1I6Q2@117743|Flavobacteriia",976|Bacteroidetes,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
CM_cdhit-1_transcript_7865,-21.160988855730007,1297570.MESS4_710051,1.24e-24,97.1,"2DEJE@1|root,2ZN82@2|Bacteria,1PB33@1224|Proteobacteria,2UY1B@28211|Alphaproteobacteria",28211|Alphaproteobacteria,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
CM_cdhit-1_transcript_7873,-10.260651507019677,1122990.BAJH01000050_gene2817,8.17e-20,87,"2DMHR@1|root,32RMI@2|Bacteria,4NS7M@976|Bacteroidetes,2G2GT@200643|Bacteroidia",976|Bacteroidetes,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
CM_cdhit-1_transcript_8090,-21.160988855730007,1121287.AUMU01000006_gene3804,3.3399999999999996e-54,180,"COG0745@1|root,COG0745@2|Bacteria,4P3S3@976|Bacteroidetes,1I8YW@117743|Flavobacteriia,3ZS99@59732|Chryseobacterium",976|Bacteroidetes,KT,cheY-homologous receiver domain,-,-,-,-,-,-,-,-,-,-,-,-,Response_reg
CM_cdhit-1_transcript_8276,-21.282873802944085,78398.KS43_19015,9.849999999999998e-222,617,"COG0031@1|root,COG0031@2|Bacteria,1MUBE@1224|Proteobacteria,1RN6J@1236|Gammaproteobacteria,1MR7X@122277|Pectobacterium",1236|Gammaproteobacteria,E,Belongs to the cysteine synthase cystathionine beta- synthase family,cysK,"GO:0000096,GO:0000097,GO:0003674,GO:0003824,GO:0004124,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006082,GO:0006520,GO:0006534,GO:0006535,GO:0006563,GO:0006790,GO:0006807,GO:0008144,GO:0008150,GO:0008152,GO:0008652,GO:0009058,GO:0009069,GO:0009070,GO:0009333,GO:0009987,GO:0016053,GO:0016740,GO:0016765,GO:0016829,GO:0016846,GO:0019344,GO:0019752,GO:0019842,GO:0030170,GO:0032991,GO:0036094,GO:0043167,GO:0043168,GO:0043436,GO:0044237,GO:0044238,GO:0044249,GO:0044272,GO:0044281,GO:0044283,GO:0044424,GO:0044444,GO:0044464,GO:0046394,GO:0048037,GO:0050662,GO:0070279,GO:0071704,GO:0080146,GO:0097159,GO:1901363,GO:1901564,GO:1901566,GO:1901576,GO:1901605,GO:1901607,GO:1902494,GO:1990234",2.5.1.47,ko:K01738,"ko00270,ko00920,ko01100,ko01110,ko01120,ko01130,ko01200,ko01230,map00270,map00920,map01100,map01110,map01120,map01130,map01200,map01230",M00021,"R00897,R03601,R04859","RC00020,RC02814,RC02821","ko00000,ko00001,ko00002,ko01000",-,-,"iAF1260.b2414,iAPECO1_1312.APECO1_4131,iB21_1397.B21_02275,iBWG_1329.BWG_2176,iE2348C_1286.E2348C_2600,iEC042_1314.EC042_2623,iEC55989_1330.EC55989_2704,iECABU_c1320.ECABU_c27350,iECBD_1354.ECBD_1267,iECB_1328.ECB_02314,iECDH10B_1368.ECDH10B_2579,iECDH1ME8569_1439.ECDH1ME8569_2348,iECD_1391.ECD_02314,iECED1_1282.ECED1_2858,iECH74115_1262.ECH74115_3645,iECIAI1_1343.ECIAI1_2472,iECNA114_1301.ECNA114_2491,iECO103_1326.ECO103_2933,iECO111_1330.ECO111_3144,iECO26_1355.ECO26_3467,iECOK1_1307.ECOK1_2731,iECP_1309.ECP_2438,iECS88_1305.ECS88_2604,iECSE_1348.ECSE_2705,iECSF_1327.ECSF_2278,iECSP_1301.ECSP_3362,iECUMN_1333.ECUMN_2736,iECW_1372.ECW_m2643,iECs_1301.ECs3286,iEKO11_1354.EKO11_1314,iETEC_1333.ETEC_2527,iEcDH1_1363.EcDH1_1247,iEcHS_1320.EcHS_A2549,iEcSMS35_1347.EcSMS35_2569,iEcolC_1368.EcolC_1264,iG2583_1286.G2583_2946,iJO1366.b2414,iJR904.b2414,iLF82_1304.LF82_0418,iNRG857_1313.NRG857_12105,iSSON_1240.SSON_2503,iSbBS512_1146.SbBS512_E2766,iUMN146_1321.UM146_04550,iUMNK88_1353.UMNK88_3016,iUTI89_1310.UTI89_C2747,iWFL_1372.ECW_m2643,iY75_1357.Y75_RS12650,iZ_1308.Z3680",PALP
CM_cdhit-1_transcript_8551,-21.431687908042694,78398.KS43_04895,8.829999999999999e-131,379,"COG0791@1|root,COG0791@2|Bacteria,1N0EE@1224|Proteobacteria,1RR2X@1236|Gammaproteobacteria,1MS1T@122277|Pectobacterium",1236|Gammaproteobacteria,M,NlpC/P60 family,spr,"GO:0000270,GO:0003674,GO:0003824,GO:0004175,GO:0006022,GO:0006508,GO:0006807,GO:0008150,GO:0008152,GO:0008233,GO:0009254,GO:0016787,GO:0019538,GO:0030203,GO:0043170,GO:0044238,GO:0070011,GO:0071704,GO:0140096,GO:1901135,GO:1901564",3.4.17.13,ko:K13694,-,-,-,-,"ko00000,ko01000,ko01002,ko01011",-,-,-,NLPC_P60
CM_cdhit-1_transcript_9924,-21.282873802944085,376686.Fjoh_0775,0,1382,"COG1472@1|root,COG1472@2|Bacteria,4NE90@976|Bacteroidetes,1HX27@117743|Flavobacteriia,2NSF4@237|Flavobacterium",976|Bacteroidetes,G,Belongs to the glycosyl hydrolase 3 family,-,-,3.2.1.21,ko:K05349,"ko00460,ko00500,ko00940,ko01100,ko01110,map00460,map00500,map00940,map01100,map01110",-,"R00026,R02558,R02887,R02985,R03527,R04949,R04998,R10035,R10039,R10040","RC00049,RC00059,RC00171,RC00262,RC00397,RC00451,RC00714,RC00746,RC01248","ko00000,ko00001,ko01000",-,GH3,-,"Fn3-like,Glyco_hydro_3,Glyco_hydro_3_C,PA14"
CM_cdhit-1_transcript_10965,-21.3966884689787,1453505.JASY01000002_gene2893,1.5299999999999998e-151,454,"COG0052@1|root,COG0052@2|Bacteria,4NER0@976|Bacteroidetes,1HWUX@117743|Flavobacteriia,2NSHB@237|Flavobacterium",976|Bacteroidetes,J,Belongs to the universal ribosomal protein uS2 family,rpsB,"GO:0003674,GO:0003735,GO:0005198,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0005840,GO:0006412,GO:0006518,GO:0006807,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009987,GO:0010467,GO:0015935,GO:0019538,GO:0022626,GO:0022627,GO:0032991,GO:0034641,GO:0034645,GO:0043043,GO:0043170,GO:0043226,GO:0043228,GO:0043229,GO:0043232,GO:0043603,GO:0043604,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044267,GO:0044271,GO:0044391,GO:0044422,GO:0044424,GO:0044444,GO:0044445,GO:0044446,GO:0044464,GO:0071704,GO:1901564,GO:1901566,GO:1901576,GO:1990904",-,ko:K02967,"ko03010,map03010","M00178,M00179",-,-,"br01610,ko00000,ko00001,ko00002,ko03011",-,-,-,Ribosomal_S2
CM_cdhit-1_transcript_10997,-21.198751346151365,218491.ECA3811,5.119999999999999e-299,827,"COG0849@1|root,COG0849@2|Bacteria,1MUSR@1224|Proteobacteria,1RMXY@1236|Gammaproteobacteria,1MRYQ@122277|Pectobacterium",1236|Gammaproteobacteria,D,Cell division protein that is involved in the assembly of the Z ring. May serve as a membrane anchor for the Z ring,ftsA,"GO:0000166,GO:0003674,GO:0005488,GO:0005515,GO:0005524,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0005886,GO:0008144,GO:0008150,GO:0009898,GO:0009987,GO:0016020,GO:0017076,GO:0030554,GO:0032153,GO:0032553,GO:0032555,GO:0032559,GO:0035639,GO:0036094,GO:0042802,GO:0043167,GO:0043168,GO:0044424,GO:0044425,GO:0044444,GO:0044459,GO:0044464,GO:0051301,GO:0071944,GO:0097159,GO:0097367,GO:0098552,GO:0098562,GO:1901265,GO:1901363",-,ko:K03590,"ko04112,map04112",-,-,-,"ko00000,ko00001,ko03036,ko04812",-,-,-,"FtsA,SHS2_FTSA"
CM_cdhit-1_transcript_11247,-12.357745347135024,5341.XP_007335613.1,4.32e-12,67.4,"2CY47@1|root,2S1X0@2759|Eukaryota,3A4N9@33154|Opisthokonta,3P4UH@4751|Fungi,3V5KY@5204|Basidiomycota,22A4D@155619|Agaricomycetes",4751|Fungi,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
CM_cdhit-1_transcript_11725,-21.198751346151365,264730.PSPPH_0223,2.07e-285,788,"COG0665@1|root,COG0665@2|Bacteria,1MVIZ@1224|Proteobacteria,1RQ50@1236|Gammaproteobacteria,1Z5E2@136849|Pseudomonas syringae group",1236|Gammaproteobacteria,C,Oxidative deamination of D-amino acids,dadA,"GO:0003674,GO:0003824,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005886,GO:0006082,GO:0006520,GO:0006522,GO:0006524,GO:0006807,GO:0008150,GO:0008152,GO:0008718,GO:0009056,GO:0009063,GO:0009078,GO:0009080,GO:0009324,GO:0009987,GO:0016020,GO:0016054,GO:0016491,GO:0016638,GO:0019478,GO:0019480,GO:0019752,GO:0032991,GO:0042851,GO:0042853,GO:0043436,GO:0044237,GO:0044238,GO:0044248,GO:0044281,GO:0044282,GO:0044424,GO:0044425,GO:0044459,GO:0044464,GO:0046144,GO:0046395,GO:0046416,GO:0046436,GO:0055114,GO:0055130,GO:0071704,GO:0071944,GO:0098796,GO:0098797,GO:1901564,GO:1901565,GO:1901575,GO:1901605,GO:1901606,GO:1902494,GO:1990204",1.4.5.1,ko:K00285,"ko00360,map00360",-,"R01374,R09493","RC00006,RC00025","ko00000,ko00001,ko01000",-,-,"iSBO_1134.SBO_1883,iSFV_1184.SFV_1196,iSF_1195.SF1178,iSFxv_1172.SFxv_1352,iS_1188.S1266,iUMNK88_1353.UMNK88_1502,iYL1228.KPN_02309",DAO
CM_cdhit-1_transcript_12073,-21.517265535811603,267608.RSc3423,3.61e-8,58.9,"2AJHT@1|root,31A4E@2|Bacteria,1PBF3@1224|Proteobacteria",1224|Proteobacteria,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
CM_cdhit-1_transcript_12505,-21.3966884689787,1121287.AUMU01000001_gene1574,5.4299999999999994e-132,397,"COG1028@1|root,COG1028@2|Bacteria,4NIDQ@976|Bacteroidetes,1HYDU@117743|Flavobacteriia,3ZQMV@59732|Chryseobacterium",976|Bacteroidetes,IQ,Enoyl-(Acyl carrier protein) reductase,-,-,1.1.1.100,ko:K00059,"ko00061,ko00333,ko00780,ko01040,ko01100,ko01130,ko01212,map00061,map00333,map00780,map01040,map01100,map01130,map01212","M00083,M00572","R04533,R04534,R04536,R04543,R04566,R04953,R04964,R07759,R07763,R10116,R10120,R11671","RC00029,RC00117","ko00000,ko00001,ko00002,ko01000,ko01004",-,-,-,adh_short_C2
CM_cdhit-1_transcript_13658,-20.372535613022627,487316.BBNM01000002_gene1272,2.5499999999999995e-166,467,"2EPHR@1|root,33H4C@2|Bacteria,1N353@1224|Proteobacteria,1SBHV@1236|Gammaproteobacteria,3NT78@468|Moraxellaceae",1236|Gammaproteobacteria,S,Putative general bacterial porin,-,-,-,-,-,-,-,-,-,-,-,-,Porin_7
CM_cdhit-1_transcript_14954,-8.796530680383475,1175306.GWL_00210,5.829999999999999e-42,145,"COG1278@1|root,COG1278@2|Bacteria,1N6Q5@1224|Proteobacteria,2VVTG@28216|Betaproteobacteria",28216|Betaproteobacteria,K,Cold shock protein,cspC,-,-,ko:K03704,-,-,-,-,"ko00000,ko03000",-,-,-,CSD
CM_cdhit-1_transcript_15286,-21.263387175690355,1121870.AUAA01000033_gene3234,0,1024,"COG0681@1|root,COG0681@2|Bacteria,4NFTP@976|Bacteroidetes,1HY4X@117743|Flavobacteriia,3HHA5@358033|Chryseobacterium",976|Bacteroidetes,U,"Signal peptidase, peptidase S26",lepB,-,3.4.21.89,ko:K03100,"ko02024,ko03060,map02024,map03060",-,-,-,"ko00000,ko00001,ko01000,ko01002",-,-,-,"Peptidase_S24,Peptidase_S26"
CM_cdhit-1_transcript_15304,-21.093151840192395,1121285.AUFK01000017_gene3199,4.829999999999999e-227,632,"COG2141@1|root,COG2141@2|Bacteria,4NHGI@976|Bacteroidetes,1HYI8@117743|Flavobacteriia,3ZQRB@59732|Chryseobacterium",976|Bacteroidetes,C,Luciferase-like monooxygenase,yhbW,-,-,-,-,-,-,-,-,-,-,-,Bac_luciferase
CM_cdhit-1_transcript_18580,-20.037491655413007,78398.KS43_13425,4.409999999999999e-286,799,"COG0814@1|root,COG0814@2|Bacteria,1NQFA@1224|Proteobacteria,1RQ8Q@1236|Gammaproteobacteria,1MRJH@122277|Pectobacterium",1236|Gammaproteobacteria,E,Tryptophan/tyrosine permease family,sdaC,"GO:0005575,GO:0005623,GO:0005886,GO:0005887,GO:0016020,GO:0016021,GO:0031224,GO:0031226,GO:0044425,GO:0044459,GO:0044464,GO:0071944",-,ko:K03837,-,-,-,-,"ko00000,ko02000",2.A.42.2.1,-,"iAPECO1_1312.APECO1_3735,iE2348C_1286.E2348C_3063,iECABU_c1320.ECABU_c30650,iECED1_1282.ECED1_3249,iECNA114_1301.ECNA114_2835,iECOK1_1307.ECOK1_3172,iECP_1309.ECP_2778,iECS88_1305.ECS88_3065,iECSF_1327.ECSF_2587,iEcSMS35_1347.EcSMS35_2936,iLF82_1304.LF82_2096,iNRG857_1313.NRG857_13695,iPC815.YPO1321,iSDY_1059.SDY_3013,iUMN146_1321.UM146_02585,iUTI89_1310.UTI89_C3167,iYL1228.KPN_03139,ic_1306.c3364",Trp_Tyr_perm
CM_cdhit-1_transcript_18728,-21.222181147470916,558152.IQ37_03630,4.8699999999999996e-30,108,"2EQ8J@1|root,33HUU@2|Bacteria,4NXWK@976|Bacteroidetes,1I6M4@117743|Flavobacteriia,3ZSG3@59732|Chryseobacterium",976|Bacteroidetes,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
